"A/C Compressor Active","A/C Pressure[psi]","Accelerator Pedal Sensor, Analog[V]","Accelerator Pedal Sensor, PWM[%]","Adaptation Throttle","Air Mass, Correction Factor","Ambient Air Pressure[psi]","Ambient Air Temperature[degree F]","Battery Voltage[V]","Boost Pressure[psi]","Brake Light Switch","Brake Pedal Position (From BCM)[%]","Camshaft Shifting Angle Deviation (Exhaust)[deg]","Camshaft Shifting Angle Deviation (Inlet)[deg]","Camshaft Shifting Angle, Exhaust[deg]","Camshaft Shifting Angle, Inlet[deg]","Condition Automatic Transmission","Cruise -","Cruise +","Cruise Control Resume","Engine Coolant Level Switch","Engine Coolant Temperature[degree C]","Engine Cooling Fan[%]","Evap-Flow[kg/h]","Exhaust Camshaft Adaptation[deg]","Exhaust Camshaft Reset Valve[%]","Fuel Pressure[kPa]","Fuel Pressure, Nominal Value[kPa]","Fuel Pump Relay","Fuel Pump, Duty Cycle[%]","Fuel Temperature[degree C]","Idlespeed, Deviation From Nominal[rpm]","Ignition Angle[deg BTDC]","Injection Time, Bank 1[ms]","Inlet Camshaft Adaptation (6-Cyl)[deg]","Inlet Camshaft Reset Valve[%]","Intake Air Temperature[degree C]","Lambda Control, Bank 1","Leakage Air Through Throttle Blade","Long-Term Fuel Trim Lower Part Load, Bank 1","Long-Term Fuel Trim Upper Part Load, Bank 1","Mass Air Flow[kg/h]","Misfire Counter","Misfire Counter 1 (5 Cyl)","Misfire Counter 2 (5 Cyl)","Misfire Counter 3 (5 Cyl)","Misfire Counter 4 (5 Cyl)","Misfire Counter 5 (5 Cyl)","Nominal Camshaft Shifting Angle, Exhaust[deg]","Nominal Camshaft Shifting Angle, Inlet[deg]","Nominal Throttle Angle[%]","Oil Level[%]","Oil Pressure Switch","Oxygen Front Sensor, Bank 1","Oxygen Rear Sensor, Bank 1[V]","Purge Valve, Dutycycle[%]","Short-Term Fuel Trim Idle, Bank 1[%]","Short-Term Fuel Trim, Bank 1","Throttle Angle[%]","Throttle Position Sensor, Potentiometer 1[V]","Throttle Position Sensor, Potentiometer 1[%]","Throttle Position Sensor, Potentiometer 2[V]","Throttle Position Sensor, Potentiometer 2[%]","Turbo Control Valve Dutycycle[%]","Vehicle Speed[km/h]"
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","0.73","1.22","16.67","0.99","Off","Off","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","0.73","1.22","16.67","0.99","Off","Off","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","0.73","1.22","16.67","0.99","Off","Off","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.22","16.67","0.99","Off","Off","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","16.67","0.99","Off","Off","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","0.99","Off","Off","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","-1.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","-1.86","7.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","-1.86","7.84","56.3","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","-1.86","7.84","56.3","C/L","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","-1.86","7.84","56.3","C/L","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","-1.86","7.84","56.3","C/L","0","1.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","-1.86","7.84","56.3","C/L","0","1.02","1.00","","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","-1.86","7.84","56.3","C/L","0","1.02","1.00","13","","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","-1.86","7.84","56.3","C/L","0","1.02","1.00","13","0","","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","-1.86","7.84","56.3","C/L","0","1.02","1.00","13","0","0","","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","-1.86","7.84","56.3","C/L","0","1.02","1.00","13","0","0","0","","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","-1.86","7.84","56.3","C/L","0","1.02","1.00","13","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","-1.86","7.84","56.3","C/L","0","1.02","1.00","13","0","0","0","0","0","","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","-1.86","7.84","56.3","C/L","0","1.02","1.00","13","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","-1.86","7.84","56.3","C/L","0","1.02","1.00","13","0","0","0","0","0","0","16","","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","-1.86","7.84","56.3","C/L","0","1.02","1.00","13","0","0","0","0","0","0","16","0","","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","-1.86","7.84","56.3","C/L","0","1.02","1.00","13","0","0","0","0","0","0","16","0","2.45","","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","-1.86","7.84","56.3","C/L","0","1.02","1.00","13","0","0","0","0","0","0","16","0","2.45","79.68","","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","-1.86","7.84","56.3","C/L","0","1.02","1.00","13","0","0","0","0","0","0","16","0","2.45","79.68","Off","","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","-1.86","7.84","56.3","C/L","0","1.02","1.00","13","0","0","0","0","0","0","16","0","2.45","79.68","Off","0.99","","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","-1.86","7.84","56.3","C/L","0","1.02","1.00","13","0","0","0","0","0","0","16","0","2.45","79.68","Off","0.99","0.72","","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","-1.86","7.84","56.3","C/L","0","1.02","1.00","13","0","0","0","0","0","0","16","0","2.45","79.68","Off","0.99","0.72","20.70","","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","-1.86","7.84","56.3","C/L","0","1.02","1.00","13","0","0","0","0","0","0","16","0","2.45","79.68","Off","0.99","0.72","20.70","3.42","","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","-1.86","7.84","56.3","C/L","0","1.02","1.00","13","0","0","0","0","0","0","16","0","2.45","79.68","Off","0.99","0.72","20.70","3.42","1.05","","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","-1.86","7.84","56.3","C/L","0","1.02","1.00","13","0","0","0","0","0","0","16","0","2.45","79.68","Off","0.99","0.72","20.70","3.42","1.05","2.35","","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","-1.86","7.84","56.3","C/L","0","1.02","1.00","13","0","0","0","0","0","0","16","0","2.45","79.68","Off","0.99","0.72","20.70","3.42","1.05","2.35","0.66","","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","-1.86","7.84","56.3","C/L","0","1.02","1.00","13","0","0","0","0","0","0","16","0","2.45","79.68","Off","0.99","0.72","20.70","3.42","1.05","2.35","0.66","2.35","","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","-1.86","7.84","56.3","C/L","0","1.02","1.00","13","0","0","0","0","0","0","16","0","2.45","79.68","Off","0.99","0.72","20.70","3.42","1.05","2.35","0.66","2.35","4.34","","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","-1.86","7.84","56.3","C/L","0","1.02","1.00","13","0","0","0","0","0","0","16","0","2.45","79.68","Off","0.99","0.72","20.70","3.42","1.05","2.35","0.66","2.35","4.34","2.35","",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","-1.86","7.84","56.3","C/L","0","1.02","1.00","13","0","0","0","0","0","0","16","0","2.45","79.68","Off","0.99","0.72","20.70","3.42","1.05","2.35","0.66","2.35","4.34","2.35","0",""
"Off","54.522","0.41","8.01","OK","0.96","9.8","50.9","14.22","9.8","Off","0","-0.94","1.01","15.89","1.14","Off","Off","Off","Off","Off","129.2","7.84","0.55","1.00","37.25","60.122","60","On","45.23","78.8","0","7.50","2.53","-1.86","7.84","56.3","C/L","0","1.02","1.00","13","0","0","0","0","0","0","16","0","2.45","79.68","Off","0.99","0.72","20.70","3.42","1.05","2.35","0.66","2.35","4.34","2.35","0","0.621"
"Off","52.498","0.41","8.01","OK","0.96","9.8","50.9","14.08","9.8","On","10.98","0.63","1.25","16.83","1.22","On","Off","Off","Off","Off","129.2","7.84","0.98","1.00","36.47","59.09","60","On","47.10","78.8","20","-3.00","3.54","-1.86","7.84","56.3","C/L","0","1.02","1.00","15.30","0","0","0","0","0","0","15.50","0","2.93","79.68","Off","1.01","0.76","25.39","3.42","0.93","2.75","0.68","3.14","4.31","3.14","0","1.243"
"Off","52.498","0.41","8.01","OK","0.96","9.8","50.9","14.43","9.8","On","7.45","-0.01","1.14","15.61","0.97","On","Off","Off","Off","Off","130.55","7.84","0.97","1.00","36.86","60.362","60","On","45.92","78.8","10","1.50","3.10","-1.86","7.84","56.3","C/L","0.10","1.02","1.00","16.40","0","0","0","0","0","0","15.50","0","3.13","79.68","Off","0.99","0.69","27.34","3.42","0.98","3.14","0.69","3.14","4.31","3.53","0","0"
"Off","52.498","0.41","8.02","OK","0.96","9.8","50.9","14.57","9.8","On","19.22","0.70","1.20","15.60","1.17","Off","Off","Off","Off","Off","130.55","7.84","0.89","1.00","39.61","60.024","60","On","46.67","78.8","20","4.50","3.21","-1.86","7.84","56.3","C/L","0.10","1.02","1.00","16.80","0","0","0","0","0","0","14.50","0","3.46","79.68","Off","0.98","0.17","32.03","3.42","0.99","5.10","0.79","5.49","4.21","5.88","0","1.864"
"Off","52.498","0.66","12.41","OK","0.95","9.8","50.9","14.01","9.8","Off","0","-1.68","1.23","13.19","1.06","On","Off","Off","Off","Off","131.9","7.84","1.12","1.00","37.65","59.73","60","On","46.59","78.8","-380","27.75","3.12","-1.86","35.69","56.3","C/L","0.10","1.02","1.00","17.70","0","0","0","0","0","0","14","0","3.35","79.68","Off","0.99","0.43","27.73","3.42","1.01","2.75","0.68","2.35","4.36","3.14","0","4.35"
"Off","52.498","0.61","11.59","OK","0.95","9.8","50.9","14.15","9.8","Off","0","-0.62","1.22","13.35","1.20","On","Off","Off","Off","Off","133.25","7.84","0.90","1.00","38.82","60.382","60","On","46.68","78.8","-10","6.00","2.20","-1.86","7.84","56.3","C/L","0","1.02","1.00","12.60","0","0","0","0","0","0","14","0","2.31","79.68","Off","1.04","0.7","19.92","3.42","0.96","1.96","0.66","2.75","4.32","3.14","0","4.971"
"Off","52.498","0.79","15.94","OK","0.95","9.8","50.9","14.36","9.8","Off","0","3.74","0.69","11.16","0.58","On","Off","Off","Off","Off","134.6","7.84","1.53","1.00","37.25","59.958","60","On","46.33","78.8","-550","36.75","2.48","-1.86","7.84","56.3","C/L","0","1.02","1.00","27.20","0","0","0","0","0","0","10.50","0","6.03","79.68","Off","1.01","0.11","50.78","3.42","0.98","5.88","0.81","6.27","4.2","6.27","0","9.321"
